marque,modele,annee,prix,kilometrage,boite_vitesses,region,carburant,date_publication,titre_annonce,page
Citroen,C3,2011.0,2800000.0,136000,Manuelle,Dakar,Diesel,Publié il y a plus de 6 ans,2011 Citroen C3,1
Land Rover,Range Rover Sport,2009.0,,160000,Automatique,Dakar,Essence,Publié il y a environ 7 ans,2009 Land Rover Range Rover Sport,1
Peugeot,307,2008.0,3200000.0,128000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2008 Peugeot 307,1
Citroen,C5,2008.0,2700000.0,130000,Manuelle,Dakar,Essence,Publié il y a plus de 6 ans,2008 Citroen C5,1
Hyundai,Getz,2008.0,1800000.0,98000,Manuelle,Dakar,Essence,Publié il y a plus de 6 ans,2008 Hyundai Getz,1
Toyota,Prado,2000.0,4000000.0,140000,Manuelle,Dakar,Diesel,Publié il y a environ 7 ans,2000 Toyota Prado,1
Peugeot,307,2007.0,2300000.0,210000,Manuelle,Dakar,Diesel,Publié il y a environ 8 ans,2007 Peugeot 307,1
Renault,19,1989.0,2300000.0,180000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,1989 Renault 19,1
Ford,Edge,2008.0,7000000.0,125000,Automatique,Dakar,Essence,Publié il y a plus de 7 ans,2008 Ford Edge,1
Jeep,Patriot,2010.0,3900000.0,140000,Manuelle,Dakar,Essence,Publié il y a environ 7 ans,2010 Jeep Patriot,1
Renault,Laguna,2007.0,2300000.0,84000,Manuelle,Dakar,Essence,Publié il y a plus de 7 ans,2007 Renault Laguna,1
Hyundai,Sonata,2011.0,3500000.0,66000,Automatique,Dakar,Essence,Publié il y a environ 7 ans,2011 Hyundai Sonata,1
Nissan,Rogue,2009.0,5500000.0,160000,Automatique,Dakar,Essence,Publié il y a environ 7 ans,2009 Nissan Rogue,1
Mitsubishi,L200,2012.0,11900000.0,116000,Manuelle,Dakar,Diesel,Publié il y a presque 8 ans,2012 Mitsubishi L200,1
Renault,Scenic,2009.0,1300000.0,160000,Manuelle,Dakar,Diesel,Publié il y a environ 7 ans,2009 Renault Scenic,1
Land Rover,Range Rover Sport,2008.0,6000000.0,130000,Automatique,Dakar,Essence,Publié il y a plus de 6 ans,2008 Land Rover Range Rover Sport,1
Toyota,Camry,2009.0,3500000.0,145000,Automatique,Dakar,Essence,Publié il y a presque 7 ans,2009 Toyota Camry,1
Ford,Escape,2010.0,6000000.0,180000,Automatique,Dakar,Essence,Publié il y a plus de 7 ans,2010 Ford Escape,1
Ford,Escape,2011.0,4000000.0,109400,Manuelle,Dakar,Diesel,Publié il y a presque 7 ans,2011 Ford Escape,1
Peugeot,307,2007.0,2100000.0,132000,Manuelle,Dakar,Diesel,Publié il y a presque 7 ans,2007 Peugeot 307,1
Peugeot,807,2007.0,2800000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2007 Peugeot 807,2
Kia,Soul,2010.0,3500000.0,172900,Manuelle,Dakar,Essence,Publié il y a environ 7 ans,2010 Kia Soul,2
Nissan,Qashqai,2014.0,7800000.0,63000,Automatique,Dakar,Diesel,Publié il y a presque 7 ans,2014 Nissan Qashqai,2
Peugeot,407,2007.0,2800000.0,120000,Manuelle,Dakar,Diesel,Publié il y a presque 8 ans,2007 Peugeot 407,2
Mitsubishi,L200,2009.0,7800000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2009 Mitsubishi L200,2
Peugeot,605,2004.0,2200000.0,160000,Manuelle,Dakar,Diesel,Publié il y a environ 7 ans,2004 Peugeot 605,2
Peugeot,207,2012.0,3800000.0,142000,Automatique,Dakar,Essence,Publié il y a plus de 7 ans,2012 Peugeot 207,2
Dacia,Logan,2009.0,2200000.0,160000,Manuelle,Dakar,Diesel,Publié il y a environ 7 ans,2009 Dacia Logan,2
Opel,Astra,2003.0,2500000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2003 Opel Astra,2
Volkswagen,Passat,2007.0,2900000.0,265000,Manuelle,Dakar,Diesel,Publié il y a presque 7 ans,2007 Volkswagen Passat,2
Mitsubishi,L200,2008.0,7200000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2008 Mitsubishi L200,2
Volkswagen,Golf,2003.0,2500000.0,160000,Manuelle,Dakar,Diesel,Publié il y a plus de 7 ans,2003 Volkswagen Golf,2
Hyundai,Tucson,2008.0,3400000.0,140000,Manuelle,Dakar,Diesel,Publié il y a environ 7 ans,2008 Hyundai Tucson,2
Citroen,C3,2008.0,2100000.0,110000,Manuelle,Dakar,Diesel,Publié il y a plus de 6 ans,2008 Citroen C3,2
Hyundai,Tucson,2008.0,2600000.0,110000,Manuelle,Dakar,Diesel,Publié il y a plus de 6 ans,2008 Hyundai Tucson,2
Peugeot,307,2008.0,2600000.0,250000,Manuelle,Dakar,Diesel,Publié il y a environ 7 ans,2008 Peugeot 307,2
Peugeot,307,2007.0,2500000.0,160000,Manuelle,Dakar,Diesel,Publié il y a environ 7 ans,2007 Peugeot 307,2
